Date,Coal,Demand,Hydroelectric,Natural Gas,Nuclear,Other,Solar,Wind
20150701T01-05,,37456,,,,,,
20150701T02-05,,35119,,,,,,
20150701T03-05,,33638,,,,,,
20150701T04-05,,32798,,,,,,
20150701T05-05,,32805,,,,,,
20150701T06-05,,34121,,,,,,
20150701T07-05,,35894,,,,,,
20150701T08-05,,37403,,,,,,
20150701T09-05,,39964,,,,,,
20150701T10-05,,43192,,,,,,
20150701T11-05,,46593,,,,,,
20150701T12-05,,48829,,,,,,
20150701T13-05,,50231,,,,,,
20150701T14-05,,51645,,,,,,
20150701T15-05,,52622,,,,,,
20150701T16-05,,53774,,,,,,
20150701T17-05,,53665,,,,,,
20150701T18-05,,52925,,,,,,
20150701T19-05,,51756,,,,,,
20150701T20-05,,50171,,,,,,
20150701T21-05,,48655,,,,,,
20150701T22-05,,47667,,,,,,
20150701T23-05,,44629,,,,,,
20150702T00-05,,40754,,,,,,
20150702T01-05,,37547,,,,,,
20150702T02-05,,35199,,,,,,
20150702T03-05,,33637,,,,,,
20150702T04-05,,32759,,,,,,
20150702T05-05,,32536,,,,,,
20150702T06-05,,33527,,,,,,
20150702T07-05,,35196,,,,,,
20150702T08-05,,36637,,,,,,
20150702T09-05,,39221,,,,,,
20150702T10-05,,42398,,,,,,
20150702T11-05,,45675,,,,,,
20150702T12-05,,48667,,,,,,
20150702T13-05,,51260,,,,,,
20150702T14-05,,53719,,,,,,
20150702T15-05,,55525,,,,,,
20150702T16-05,,56836,,,,,,
20150702T17-05,,57505,,,,,,
20150702T18-05,,56807,,,,,,
20150702T19-05,,55044,,,,,,
20150702T20-05,,52776,,,,,,
20150702T21-05,,50986,,,,,,
20150702T22-05,,49845,,,,,,
20150702T23-05,,46817,,,,,,
20150703T00-05,,43307,,,,,,
20150703T01-05,,40173,,,,,,
20150703T02-05,,37954,,,,,,
20150703T03-05,,36353,,,,,,
20150703T04-05,,35346,,,,,,
20150703T05-05,,34981,,,,,,
20150703T06-05,,35402,,,,,,
20150703T07-05,,35919,,,,,,
20150703T08-05,,36447,,,,,,
20150703T09-05,,38820,,,,,,
20150703T10-05,,42009,,,,,,
20150703T11-05,,45201,,,,,,
20150703T12-05,,48116,,,,,,
20150703T13-05,,50501,,,,,,
20150703T14-05,,52232,,,,,,
20150703T15-05,,53443,,,,,,
20150703T16-05,,54180,,,,,,
20150703T17-05,,54510,,,,,,
20150703T18-05,,54028,,,,,,
20150703T19-05,,52732,,,,,,
20150703T20-05,,50673,,,,,,
20150703T21-05,,49028,,,,,,
20150703T22-05,,47940,,,,,,
20150703T23-05,,45385,,,,,,
20150704T00-05,,42470,,,,,,
20150704T01-05,,39566,,,,,,
20150704T02-05,,37379,,,,,,
20150704T03-05,,35757,,,,,,
20150704T04-05,,34698,,,,,,
20150704T05-05,,34057,,,,,,
20150704T06-05,,33939,,,,,,
20150704T07-05,,33910,,,,,,
20150704T08-05,,34456,,,,,,
20150704T09-05,,37333,,,,,,
20150704T10-05,,41075,,,,,,
20150704T11-05,,45018,,,,,,
20150704T12-05,,48470,,,,,,
20150704T13-05,,51173,,,,,,
20150704T14-05,,52980,,,,,,
20150704T15-05,,54226,,,,,,
20150704T16-05,,54755,,,,,,
20150704T17-05,,54722,,,,,,
20150704T18-05,,54308,,,,,,
20150704T19-05,,52974,,,,,,
20150704T20-05,,50742,,,,,,
20150704T21-05,,48474,,,,,,
20150704T22-05,,46782,,,,,,
20150704T23-05,,44767,,,,,,
20150705T00-05,,42872,,,,,,
20150705T01-05,,40437,,,,,,
20150705T02-05,,38209,,,,,,
20150705T03-05,,36459,,,,,,
20150705T04-05,,35240,,,,,,
20150705T05-05,,34500,,,,,,
20150705T06-05,,34275,,,,,,
20150705T07-05,,33984,,,,,,
20150705T08-05,,34489,,,,,,
20150705T09-05,,37297,,,,,,
20150705T10-05,,40940,,,,,,
20150705T11-05,,44533,,,,,,
20150705T12-05,,47856,,,,,,
20150705T13-05,,50701,,,,,,
20150705T14-05,,52879,,,,,,
20150705T15-05,,54568,,,,,,
20150705T16-05,,55685,,,,,,
20150705T17-05,,56335,,,,,,
20150705T18-05,,56405,,,,,,
20150705T19-05,,55512,,,,,,
20150705T20-05,,53679,,,,,,
20150705T21-05,,52057,,,,,,
