Rank ,School Name,Country,Location ,Salary today ,Weighted salary ,Percentage Increase,Aims achieved,Employed at three months  ,Careers service rank,Alumni recommend rank,International students (%),Value for money rank,Women on board (%),Rank in 2020,International faculty (%)
1,Insead,France / Singapore,Foreign,190680,188432,96,88,83 (97),40,1,94,7,41,4,91
2,London Business School,UK,Foreign,178190,177234,103,91,88 (99),27,2,92,98,44,7,85
3,University of Chicago: Booth,US,US,204651,200287,121,90,91 (97),3,4,40,83,16,10,32
4,Iese Business School,Spain,Foreign,166104,166811,131,89,79 (95),11,13,83,87,29,13,72
4,Yale School of Management,US,US,189315,186887,133,90,86 (100),30,7,40,80,24,14,45
6,"Northwestern University, Kellogg School of Management",US,US,191744,190975,102,89,93 (100),7,3,36,92,46,11,54
7,Ceibs,China,Foreign,172316,178558,156,86,91 (100),49,26,33,51,46,5,62
7,HEC Paris,France,Foreign,170837,168436,118,86,90 (85),80,10,94,15,42,9,66
9,Duke University's Fuqua School of Business,US,US,178000,177895,121,89,91 (99),17,5,38,93,22,16,41
10,Dartmouth College: Tuck,US,US,183833,182988,106,90,92 (100),23,9,37,97,33,16,40
11,University of Virginia: Darden,US,US,182623,179176,135,90,91 (99),14,15,24,74,25,18,30
12,SDA Bocconi School of Management,Italy,Foreign,155475,155475,126,82,92 (97),47,35,65,3,36,29,42
13,New York University: Stern,US,US,174980,175239,127,90,89 (93),15,12,32,95,21,22,47
14,National University of Singapore Business School,Singapore,Foreign,161168,160729,138,87,78 (100),77,28,93,23,13,15,65
15,Cornell University: Johnson,US,US,174299,174098,128,89,90 (97),9,18,42,76,22,23,50
16,University of Cambridge: Judge,UK,Foreign,170028,167610,87,89,90 (90),48,29,90,9,48,19,71
17,University of Oxford: Saïd,UK,Foreign,153812,151895,132,89,95 (85),73,23,93,25,39,21,67
17,Georgetown University: McDonough,US,US,161920,161512,85,88,90 (94),35,33,37,86,16,31,44
19,IMD Business School,Switzerland,Foreign,164276,160768,68,90,87 (100),28,19,99,11,20,25,98
20,Esade Business School,Spain,Foreign,142739,143721,113,88,91 (98),60,24,98,78,50,24,47
21,University of Michigan: Ross,US,US,166703,167336,103,90,88 (94),13,8,23,91,12,30,33
22,HKUST Business School,Hong Kong SAR (China),Foreign,153069,151758,109,86,86 (85),82,37,60,36,20,19,50
23,Indian School of Business,India,Foreign,163550,161349,173,85,100 (97),39,21,2,54,9,28,16
24,University of Southern California: Marshall,US,US,162836,164519,118,90,91 (93),33,41,16,96,13,36,33
25,Washington University: Olin,US,US,142340,142340,117,88,73 (89),72,77,38,71,52,44,39
26,University of North Carolina: Kenan-Flagler,US,US,153799,151431,128,89,84 (100),29,25,14,79,26,39,37
27,Carnegie Mellon: Tepper,US,US,157460,155015,124,90,87 (100),8,16,35,82,27,31,41
28,University of Washington: Foster,US,US,146566,146191,111,87,94 (100),45,48,24,69,25,47,34
29,HKU Business School,Hong Kong SAR (China),Foreign,133311,133311,127,84,91 (95),59,75,61,60,25,56,33
30,Alliance Manchester Business School,UK,Foreign,133956,130695,101,88,76 (83),19,64,89,46,50,45,53
31,Vanderbilt University: Owen,US,US,155038,155038,120,91,92 (97),4,44,8,75,32,45,15
32,Fudan University School of Management,China,Foreign,121198,121198,96,87,90 (100),21,65,8,40,6,33,8
32,Warwick Business School,UK,Foreign,128752,128752,76,84,96 (88),26,40,90,12,33,43,81
32,Rice University: Jones,US,US,161156,161156,190,90,90 (98),37,46,25,68,28,57,38
35,Indian Institute of Management Bangalore,India,Foreign,171903,171903,127,83,92 (100),69,11,0,45,36,27,7
35,Sungkyunkwan University GSB,South Korea,Foreign,147152,147152,94,82,91 (95),5,99,58,16,58,54,68
37,"Nanyang Business School, NTU Singapore",Singapore,Foreign,134213,134213,107,82,94 (96),71,44,89,27,41,35,67
38,Indiana University: Kelley,US,US,139513,140818,119,90,86 (92),6,32,25,49,25,40,29
39,IE Business School,Spain,Foreign,134566,134596,80,80,95 (93),99,17,95,64,50,52,70
40,University of Texas at Austin: McCombs,US,US,153922,154053,92,89,86 (100),12,14,19,84,17,40,31
40,University of Florida: Warrington,US,US,128375,128375,128,90,91 (100),1,81,17,1,13,34,31
42,University of California at Irvine: Merage,US,US,138946,138946,117,90,64 (100),34,86,21,70,31,65,34
43,Michigan State University: Broad,US,US,130720,130720,172,87,82 (100),41,55,23,19,32,,35
44,Indian Institute of Management Calcutta,India,Foreign,167045,167045,72,83,98 (100),55,20,0,33,27,42,4
44,Imperial College Business School,UK,Foreign,125051,125051,129,91,80 (97),76,31,86,50,50,55,96
46,Babson College: Olin,US,US,154546,154546,113,87,81 (85),84,27,61,72,20,60,17
47,Pennsylvania State University: Smeal,US,US,131018,131018,134,90,90 (98),36,61,19,4,21,59,15
48,CUHK Business School,Hong Kong SAR (China),Foreign,123175,123175,114,84,82 (90),83,81,28,66,30,50,45
48,Indian Institute of Management Ahmedabad,India,Foreign,192390,192390,87,79,96 (96),97,6,0,52,36,61,1
50,Emory University: Goizueta,US,US,147186,147186,105,89,90 (99),18,30,29,81,25,47,23
51,Boston University: Questrom,US,US,133286,133286,126,87,85 (86),89,47,43,55,13,67,33
52,University of Maryland: Smith,US,US,138750,138750,115,88,81 (100),52,78,29,63,30,73,32
53,Shanghai Jiao Tong University: Antai,China,Foreign,123812,123812,159,84,98 (97),51,71,31,38,12,37,2
54,WHU – Otto Beisheim School of Management,Germany,Foreign,125366,125366,89,89,74 (96),32,69,76,20,21,64,33
55,Boston College: Carroll,US,US,143692,143692,117,90,76 (96),67,58,10,73,8,,32
56,Ohio State University: Fisher,US,US,135958,135958,110,86,84 (99),57,65,12,37,26,72,26
57,Arizona State University: WP Carey,US,US,130066,130066,114,88,87 (100),56,43,45,18,19,,30
58,Mannheim Business School,Germany,Foreign,121324,121324,89,86,95 (89),85,57,92,10,60,71,24
58,Singapore Management University: Lee Kong Chian,Singapore,Foreign,121279,121279,115,86,67 (92),65,53,77,31,33,63,64
60,University of Rochester: Simon Business School,US,US,132084,132084,135,86,91 (92),79,92,39,53,7,76,38
61,"City, University of London, The Business School (formerly Cass)",UK,Foreign,131439,131439,76,86,81 (80),62,60,80,48,50,50,74
62,Georgia Tech Scheller College of Business,US,US,141141,141141,106,86,90 (100),2,49,29,44,28,53,28
63,"Rotterdam School of Management, Erasmus University",Netherlands,Foreign,117753,118445,73,84,70 (97),92,38,99,35,28,66,51
64,Shanghai University of Finance and Economics: College of Business,China,Foreign,105648,105648,62,73,100 (95),16,89,11,39,27,47,5
64,University of St Gallen,Switzerland,Foreign,128145,128145,189,87,70 (100),81,56,91,14,50,68,80
66,SMU: Cox,US,US,143154,143154,100,90,77 (95),38,74,12,77,15,74,33
67,Tsinghua University School of Economics and Management,China,Foreign,150021,149531,81,77,85 (100),44,54,32,89,5,,5
68,George Washington University,US,US,122991,122991,111,88,87 (94),86,70,40,88,29,70,31
69,University of Notre Dame: Mendoza,US,US,135458,135458,113,86,78 (95),25,65,14,65,14,57,18
69,University of Connecticut School of Business,US,US,131868,131868,112,82,73 (100),96,100,30,47,22,77,31
71,Brigham Young University: Marriott,US,US,133773,133491,135,88,92 (100),63,42,8,2,8,83,1
71,University of Minnesota: Carlson,US,US,132700,132700,92,88,88 (98),20,72,19,61,30,78,23
73,University of Texas at Dallas: Jindal,US,US,120951,120951,90,84,93 (100),87,90,20,30,16,81,51
74,Durham University Business School,UK,Foreign,111213,111213,86,82,73 (95),61,88,89,6,43,62,68
75,University of Toronto: Rotman,Canada,Foreign,107478,109613,77,84,72 (96),93,22,68,100,45,94,78
76,Edhec Business School,France,Foreign,112368,112368,109,83,94 (96),64,85,99,17,50,88,63
76,University of Pittsburgh: Katz,US,US,116553,116553,57,88,74 (100),68,97,30,42,19,74,26
78,Eada Business School Barcelona,Spain,Foreign,113706,113706,111,82,91 (87),98,94,97,29,30,,53
79,AGSM at UNSW Business School,Australia,Foreign,108376,108376,66,83,82 (89),70,62,85,62,50,88,74
80,ESMT Berlin,Germany,Foreign,115176,115176,61,87,59 (90),78,63,96,13,25,81,72
81,Essec Business School,France,Foreign,106795,106795,63,83,79 (83),75,59,94,22,57,88,57
82,The Lisbon MBA Catolica | Nova,Portugal,Foreign,106272,106272,76,87,67 (100),58,84,66,32,40,84,33
83,Wisconsin School of Business,US,US,131398,131398,94,88,76 (99),54,68,23,28,37,92,26
84,Ipade Business School,Mexico,Foreign,107470,112742,173,83,81 (100),50,73,24,85,14,,24
85,Texas A & M University: Mays,US,US,123704,123704,91,85,90 (100),66,52,16,24,16,86,21
86,Rutgers Business School,US,US,132603,132603,107,89,88 (86),22,83,19,57,16,,27
87,Melbourne Business School,Australia,Foreign,108788,108788,64,88,96 (97),43,51,88,21,13,80,70
87,University of Georgia: Terry,US,US,109773,109773,109,86,81 (100),10,91,12,26,23,100,28
89,William & Mary: Mason,US,US,125204,125204,106,84,72 (100),31,94,20,67,33,,12
90,EMLyon Business School,France,Foreign,91913,91913,69,84,90 (74),53,80,91,34,38,79,61
91,McGill University: Desautels,Canada,Foreign,103367,103367,81,89,60 (98),94,36,81,90,23,91,77
92,Fordham University: Gabelli,US,US,123100,123100,105,80,72 (100),74,96,39,99,21,,34
93,Miami Herbert Business School,US,US,117600,117600,88,86,83 (85),91,98,29,94,14,93,49
94,Indian Institute of Management Indore,India,Foreign,155823,155823,81,79,100 (91),88,79,0,59,22,,0
94,University of Cape Town Graduate School of Business,South Africa,Foreign,123604,123604,69,79,58 (100),100,87,37,5,46,,54
96,Lancaster University Management School,UK,Foreign,97067,97067,75,84,84 (96),24,93,98,8,42,,58
97,Western University: Ivey,Canada,Foreign,112480,110586,72,88,86 (95),46,34,43,43,20,87,51
98,Copenhagen Business School,Denmark,Foreign,102221,102221,47,85,58 (94),95,50,91,41,36,,47
99,Hult International Business School,US,US,112964,112684,66,81,91 (98),90,76,93,58,25,,73
100,Queen's University: Smith,Canada,Foreign,96895,96895,70,89,85 (100),42,39,49,56,30,,48
