Panaderia Tierra Caliente #3,,,,
5800 Bellaire Blvd Ste 128,,,,
"Houston, TX 77081",,,,
,,,,
,,,,
,,,,
*** TOTAL INVENTORY REPORT BY MENU ITEM ***,,,,
From 04/17/2022 To 04/23/2022,,,,
,,,,
,,,,
SNAP CATEGORY,MENU ITEM,SALES AMOUNT,PERCENTAGE,QUANTITY
Staple Foods,Bolillo Grande," $ 6,793.65 ",13.82%,"10,478"
Staple Foods,Biscuit Normal," $ 4,880.95 ",9.93%,3764
Staple Foods,Pan Torta (1)," $ 4,397.91 ",8.95%,6783
Staple Foods,torta (15)," $ 3,549.84 ",7.22%,365
Staple Foods,Bolillo Chico," $ 3,330.04 ",6.77%,"8,560"
Staple Foods,Croissant," $ 2,303.80 ",4.69%,1974
Staple Foods,Pan Trigo," $ 1,740.23 ",3.54%,1342
Staple Foods,torta (5)," $ 1,134.65 ",2.31%,350
Staple Foods,Telera (Huetamo), $ 911.35 ,1.85%,1004
Accessory Foods,Concha, $ 877.77 ,1.79%,967
Staple Foods,Pan Guatemala Grande, $ 877.25 ,1.78%,615
Staple Foods,Telera 3 Gajos, $ 711.65 ,1.45%,784
Staple Foods,Pan Guatemala Chico, $ 505.21 ,1.03%,487
Staple Foods,LECHE BORDEN CHOCO, $ 494.06 ,1.01%,254
Accessory Foods,Cuerno Queso, $ 380.92 ,0.77%,235
Staple Foods,LECHE POINSETTIA DE 1G, $ 492.76 ,1.00%,76
Hot Foods,Bolillo Queso Jalapeno, $ 488.61 ,0.99%,471
Hot Foods,Kolache  Regular, $ 435.71 ,0.89%,224
Staple Foods,Semita Ajonjoli, $ 418.98 ,0.85%,359
Staple Foods,Semita Plain, $ 411.98 ,0.84%,353
Hot Foods,Kolache Jamon, $ 399.40 ,0.81%,140
Hot Foods,CAFÉ COLOMBIANO 16OZ, $ 396.80 ,0.81%,153
Accessory Foods,Empanada Pina, $ 388.05 ,0.79%,399
Accessory Foods,Marrano, $ 386.69 ,0.79%,426
Hot Foods,torta de jamon, $ 338.45 ,0.69%,87
Staple Foods,Jasmine Rice 32oz, $ 315.13 ,0.64%,58
Staple Foods,Stick, $ 308.11 ,0.63%,264
Accessory Foods,Mantecada Chica, $ 295.92 ,0.60%,326
Accessory Foods,Ojos, $ 277.76 ,0.57%,153
Staple Foods,Arepa, $ 269.72 ,0.55%,260
Accessory Foods,Dona Azucar, $ 262.46 ,0.53%,253
Accessory Foods,Espiga, $ 249.62 ,0.51%,175
Accessory Foods,Cuerno Mantequilla, $ 213.96 ,0.44%,165
Accessory Foods,Gelatina 10oz, $ 206.18 ,0.42%,53
Accessory Foods,Oreja Crispy, $ 199.57 ,0.41%,162
Staple Foods,QUESO HONDU LEMPIRA 14, $ 197.43 ,0.40%,25
Hot Foods,CAFÉ COLOMBIANO 12OZ, $ 194.51 ,0.40%,100
Accessory Foods,Vidreada, $ 186.86 ,0.38%,131
Accessory Foods,Mantecada Grande, $ 186.73 ,0.38%,160
Staple Foods,SALSA MACHA ARANDANOS, $ 160.47 ,0.33%,15
Accessory Foods,Cuerno Canela, $ 153.40 ,0.31%,169
Staple Foods,Quesad Salva Capacillo, $ 147.83 ,0.30%,57
Accessory Foods,Empanada Feite, $ 144.98 ,0.29%,86
Accessory Foods,BUNUELOS., $ 136.16 ,0.28%,12
Accessory Foods,Rebanada Mantequilla, $ 135.38 ,0.28%,116
Accessory Foods,Cheesecake (Pan), $ 123.45 ,0.25%,56
Accessory Foods,Empanada Queso, $ 120.14 ,0.24%,109
Accessory Foods,Galleta Gregea, $ 116.19 ,0.24%,128
Accessory Foods,Gallina, $ 114.37 ,0.23%,63
Accessory Foods,Nube, $ 113.08 ,0.23%,109
Accessory Foods,Caracol Queso, $ 108.93 ,0.22%,60
Accessory Foods,Novia 90, $ 108.54 ,0.22%,93
Accessory Foods,Taco Queso, $ 106.20 ,0.22%,63
Accessory Foods,MONSTER 16OZ, $ 103.93 ,0.21%,35
Accessory Foods,Churro Canela, $ 103.74 ,0.21%,80
Accessory Foods,Pinguino, $ 102.83 ,0.21%,61
Staple Foods,Panal Queso, $ 101.66 ,0.21%,56
Accessory Foods,COCA COLA  MX 500ml., $ 100.76 ,0.20%,30
Accessory Foods,Budin, $ 99.85 ,0.20%,70
Accessory Foods,Flor, $ 99.20 ,0.20%,85
Accessory Foods,Pachuco Danes, $ 98.03 ,0.20%,54
Accessory Foods,Banderilla Crispy, $ 95.96 ,0.20%,74
Accessory Foods,Casuelita, $ 94.92 ,0.19%,61
Accessory Foods,Empanada Cajeta, $ 92.59 ,0.19%,84
Accessory Foods,Empanada Camote, $ 91.42 ,0.19%,94
