date,Corn price $/bushel
1/4/2010,4.185
2/1/2010,3.59
3/1/2010,3.8175
4/1/2010,3.445
5/3/2010,3.715
6/1/2010,3.54
7/1/2010,3.7325
8/2/2010,3.905
9/1/2010,4.4675
10/1/2010,4.6575
11/1/2010,5.7725
12/1/2010,5.6625
1/3/2011,6.205
2/1/2011,6.66
3/1/2011,7.355
4/1/2011,7.36
5/2/2011,7.345
6/1/2011,7.585
7/1/2011,6.0675
8/1/2011,6.8125
9/1/2011,7.385
10/3/2011,5.925
11/1/2011,6.5425
12/1/2011,6.015
1/3/2012,6.585
2/1/2012,6.42
3/1/2012,6.54
4/2/2012,6.55
5/1/2012,6.29
6/1/2012,5.515
7/2/2012,6.5225
8/1/2012,8.005
9/4/2012,8.05
10/1/2012,7.5675
11/1/2012,7.51
12/3/2012,7.5475
1/2/2013,6.9075
2/1/2013,7.36
3/1/2013,7.085
4/1/2013,6.4225
5/1/2013,6.4675
6/3/2013,6.5575
7/1/2013,5.315
8/1/2013,4.875
9/3/2013,4.7525
10/1/2013,4.39
11/1/2013,4.2725
12/2/2013,4.245
1/2/2014,4.205
2/3/2014,4.3575
3/3/2014,4.705
4/1/2014,5.075
5/1/2014,5.07
6/2/2014,4.655
7/1/2014,4.16
8/1/2014,3.525
9/2/2014,3.6375
10/1/2014,3.2125
11/3/2014,3.735
12/1/2014,3.8975
1/2/2015,3.9575
2/2/2015,3.6975
3/2/2015,3.88
4/1/2015,3.8175
5/1/2015,3.63
6/1/2015,3.5225
7/1/2015,4.225
8/3/2015,3.665
9/1/2015,3.69
10/1/2015,3.8875
11/2/2015,3.765
12/1/2015,3.7375
1/4/2016,3.515
2/1/2016,3.7125
3/1/2016,3.5575
4/1/2016,3.54
5/2/2016,3.9175
6/1/2016,4.1375
7/1/2016,3.6
8/1/2016,3.2575
9/1/2016,3.2375
10/3/2016,3.46
11/1/2016,3.49
12/1/2016,3.425
1/3/2017,3.5575
2/1/2017,3.6825
3/1/2017,3.82
4/3/2017,3.6775
5/1/2017,3.775
6/1/2017,3.705
7/3/2017,3.885
8/1/2017,3.625
9/1/2017,3.5525
10/2/2017,3.515
11/1/2017,3.4825
12/1/2017,3.5875
1/2/2018,3.5325
2/1/2018,3.6175
3/1/2018,3.8625
4/2/2018,3.8725
5/1/2018,4.0575
6/1/2018,3.915
7/2/2018,3.47
8/1/2018,3.65
9/4/2018,3.6825
10/1/2018,3.6575
11/1/2018,3.6675
12/3/2018,3.82
1/2/2019,3.7575
2/1/2019,3.7825
3/1/2019,3.73
4/1/2019,3.6175
5/1/2019,3.685
6/3/2019,4.2425
7/1/2019,4.155
8/1/2019,3.9275
9/3/2019,3.61
10/1/2019,3.925
11/1/2019,3.8925
12/2/2019,3.82
1/2/2020,3.915
2/3/2020,3.7875
3/2/2020,3.755
4/1/2020,3.3475
5/1/2020,3.185
6/1/2020,3.2325
7/1/2020,3.505
8/3/2020,3.175
9/1/2020,3.58
10/1/2020,3.8275
11/2/2020,3.975
12/1/2020,4.2075
1/4/2021,4.8375
2/1/2021,5.4925
3/1/2021,5.3825
4/1/2021,5.5975
5/3/2021,6.795
6/1/2021,6.8875
7/1/2021,6.0175
8/2/2021,5.5875
9/1/2021,5.2275
10/1/2021,5.415
11/1/2021,5.79
12/1/2021,5.715
1/3/2022,5.8925
2/1/2022,6.3475
3/1/2022,7.2575
4/1/2022,7.35
5/2/2022,8.035
6/1/2022,7.3125
7/1/2022,7.4306
8/1/2022,6.07
9/1/2022,6.5825
10/3/2022,6.8075
11/1/2022,6.9775
12/1/2022,6.5
1/2/2023,6.785
2/1/2023,6.81
