"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN","TOBS"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-01","3.00",,"99","75","86"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-02","0.09",,"97","79","89"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-03",,,"95","78","89"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-04","0.02",,"95","79","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-05","0.12",,"92","76","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-06",,,"92","74","89"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-07",,,"96","71","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-08",,,"97","71","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-09","0.00",,"94","75","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-10","0.00",,"92","72","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-11","0.00",,"99","70","87"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-12",,,"99","71","86"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-13",,,"98","78","86"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-14",,,"98","72","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-15",,,"98","73","86"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-16",,,"97","70","84"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-17",,,"98","71","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-18",,,"98","72","86"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-19",,,"101","74","89"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-20","0.03",,"101","74","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-21",,,"96","76","86"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-22",,,"96","72","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-23",,,"93","71","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-24",,,"94","73","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-25","0.07",,"83","72","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-26",,,"92","68","89"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-27",,,"95","65","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-28",,,"96","65","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-29","1.62",,"89","70","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-30","0.15",,"95","73","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-08-31","0.53",,"92","70","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-01",,,"92","73","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-02",,,"94","70","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-03","0.12",,"92","73","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-04","0.00",,"93","70","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-05",,,"92","69","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-06","0.00",,"93","71","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-07","0.52",,"94","71","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-08","0.00",,"96","72","88"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-09",,,"91","71","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-10","0.07",,"94","71","84"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-11","0.00",,"100","74","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-12",,,"97","73","87"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-13",,,"96","73","84"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-14",,,"95","73","85"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-15","0.11",,"89","73","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-16",,,"85","65","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-17",,,"85","64","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-18",,,"91","60","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-19",,,"88","61","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-20",,,"92","72","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-21",,,"92","69","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-22","0.23",,"86","70","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-23","0.63",,"82","70","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-24","0.29",,"87","73","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-25","0.00",,"90","72","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-26","0.65",,"80","67","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-27",,,"78","57","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-28","0.00",,"83","60","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-29",,,"84","64","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-09-30",,,"83","64",
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-01",,,"83","65","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-02",,,"83","59","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-03",,,"82","61","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-04","0.04",,"76","71","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-05","0.23",,"80","68","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-06","0.54",,"85","73","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-07","2.75",,"79","67","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-08",,,"89","60","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-09",,,"87","63","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-10","0.00",,"85","72","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-11",,,"85","71","75"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-12","0.05",,"82","73","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-13",,,"81","67","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-14",,,"80","59","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-15",,,"82","61","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-16",,,"87","63","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1930-10-17",,,"79","56","71"
